Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-03-28,81.632,82.72,80.904,82.54,1838000,0.0,0.0
2022-03-29,82.738,83.134,82.199,83.08,1533700,0.0,0.0
2022-03-30,83.233,84.402,82.873,84.357,1752900,0.0,0.0
2022-03-31,84.222,85.175,84.222,84.303,1512800,0.0,0.0
2022-04-01,84.267,85.283,83.718,85.229,1246300,0.0,0.0
2022-04-04,84.716,85.256,83.808,84.869,1019400,0.0,0.0
2022-04-05,85.022,86.155,84.923,85.364,1409200,0.0,0.0
2022-04-06,85.615,87.665,85.49,87.333,1735800,0.0,0.0
2022-04-07,87.216,87.324,86.254,87.036,1314100,0.0,0.0
2022-04-08,87.432,87.683,86.685,87.279,1352300,0.0,0.0
2022-04-11,87.396,87.764,86.524,86.748,1097100,0.0,0.0
2022-04-12,86.542,87.414,86.137,86.991,847600,0.0,0.0
2022-04-13,86.991,87.243,86.128,86.542,1132300,0.0,0.0
2022-04-14,86.856,87.153,86.461,86.542,795300,0.0,0.0
2022-04-18,86.82,87.216,85.975,86.389,758600,0.0,0.0
2022-04-19,86.802,87.054,86.506,86.874,1111300,0.0,0.0
2022-04-20,87.683,88.681,87.396,88.574,1253300,0.0,0.0
2022-04-21,88.556,89.194,87.809,87.944,1182900,0.0,0.0
2022-04-22,87.836,88.106,86.928,87.108,1111100,0.0,0.0
2022-04-25,87.324,87.63,85.274,86.245,1397900,0.0,0.0
2022-04-26,86.092,86.946,85.328,85.346,884300,0.0,0.0
2022-04-27,85.364,86.038,84.312,84.815,1038400,0.0,0.0
2022-04-28,85.094,85.993,84.528,85.822,1155400,0.0,0.0
2022-04-29,85.364,85.418,83.422,83.529,1537500,0.0,0.0
2022-05-02,83.997,84.536,81.74,82.72,1254500,0.0,0.0
2022-05-03,83.278,84.357,82.63,83.098,1174000,0.0,0.0
2022-05-04,83.35,84.563,83.152,84.393,1136300,0.0,0.0
2022-05-05,84.015,84.492,83.215,83.844,1272300,0.0,0.0
2022-05-06,83.269,83.979,82.468,83.305,1800600,0.0,0.0
